Owner	Year of Launch	Sum
Algeria	2010	1
Algeria	2016	3
Algeria	2017	1
Argentina	2002	2
Argentina	2004	2
Argentina	2013	1
Argentina	2014	2
Argentina	2015	1
Argentina	2016	2
Argentina	2017	1
Argentina	2018	2
Australia	2003	1
Australia	2006	1
Australia	2007	1
Australia	2009	1
Australia	2014	1
Australia	2015	1
Australia	2016	1
Australia	2017	3
Austria	2013	1
Azerbaijan	2013	1
Bangladesh	2017	1
Belarus	2012	1
Belarus	2016	1
Belgium	2014	1
Belgium	2017	1
Bolivia	2013	1
Brazil	1993	1
Brazil	1995	1
Brazil	1998	2
Brazil	2000	1
Brazil	2007	1
Brazil	2008	1
Brazil	2012	1
Brazil	2015	1
Brazil	2016	1
Brazil	2017	2
Bulgaria	2017	1
Canada	2000	1
Canada	2002	1
Canada	2003	2
Canada	2004	1
Canada	2005	1
Canada	2007	2
Canada	2008	3
Canada	2009	2
Canada	2011	3
Canada	2012	2
Canada	2013	5
Canada	2014	4
Canada	2015	2
Canada	2016	3
Canada	2017	1
Canada	2018	1
Chile	2011	1
Chile	2017	1
China	1998	1
China	1999	1
China	2003	2
China	2004	4
China	2005	3
China	2006	3
China	2007	1
China	2008	10
China	2009	6
China	2010	19
China	2011	15
China	2012	22
China	2013	14
China	2014	21
China	2015	44
China	2016	19
China	2017	31
China	2018	32
China/Brazil	2014	1
China/Italy	2018	1
Czech Republic	2017	1
Denmark	2013	1
Denmark	2016	1
Denmark	2018	2
Egypt	2000	1
Egypt	2010	1
ESA	1999	1
ESA	2000	4
ESA	2001	1
ESA	2009	2
ESA	2010	1
ESA	2011	2
ESA	2012	2
ESA	2013	4
ESA	2014	3
ESA	2015	7
ESA	2016	9
ESA	2017	6
ESA	2018	1
ESA/USA	1990	1
ESA/USA/Russia	2002	1
Finland	2017	1
Finland	2018	1
France	2005	1
France	2006	1
France	2009	2
France	2011	4
France	2012	1
France	2017	3
France	2018	1
France/Belgium/Sweden	2012	1
France/Belgium/Sweden	2014	1
France/Israel	2017	1
France/Italy	2011	1
France/Italy	2014	1
France/Italy	2015	1
France/Italy/Belgium/Spain/Greece	2004	1
France/Italy/Belgium/Spain/Greece	2009	1
France/USA	2006	1
Germany	1999	1
Germany	2001	1
Germany	2006	1
Germany	2007	3
Germany	2008	7
Germany	2009	2
Germany	2010	2
Germany	2012	1
Germany	2013	2
Germany	2014	1
Germany	2016	1
Germany	2017	3
Germany	2018	4
Greece	2003	1
Greece/United Kingdom	2017	1
India	2002	1
India	2003	2
India	2005	2
India	2007	3
India	2008	1
India	2009	1
India	2010	1
India	2011	5
India	2012	2
India	2013	3
India	2014	4
India	2015	4
India	2016	11
India	2017	8
India	2018	4
India/Canada	2011	1
India/France	2011	1
India/France	2013	1
Indonesia	1996	1
Indonesia	2005	1
Indonesia	2007	1
Indonesia	2009	1
Indonesia	2015	1
Indonesia	2016	2
Indonesia	2017	1
Iran	2005	1
Iraq	2014	1
Israel	2002	1
Israel	2006	1
Israel	2007	1
Israel	2008	2
Israel	2010	1
Israel	2013	1
Israel	2014	2
Israel	2016	1
Israel	2017	2
Italy	2001	1
Italy	2007	2
Italy	2008	1
Italy	2009	1
Italy	2010	1
Italy	2016	1
Italy	2017	3
Japan	1997	1
Japan	1999	1
Japan	2000	2
Japan	2002	3
Japan	2003	1
Japan	2005	1
Japan	2006	3
Japan	2007	1
Japan	2008	3
Japan	2009	6
Japan	2010	2
Japan	2011	3
Japan	2012	3
Japan	2013	4
Japan	2014	13
Japan	2015	2
Japan	2016	7
Japan	2017	12
Japan	2018	4
Kazakhstan	2011	1
Kazakhstan	2014	3
Kazakhstan	2017	1
Laos	2015	1
Latvia	2017	1
Lithuania	2017	1
Luxembourg	1994	1
Luxembourg	1996	1
Luxembourg	1997	1
Luxembourg	1998	1
Luxembourg	1999	1
Luxembourg	2000	2
Luxembourg	2001	1
Luxembourg	2002	1
Luxembourg	2006	1
Luxembourg	2007	1
Luxembourg	2008	1
Luxembourg	2010	1
Luxembourg	2011	1
Luxembourg	2012	1
Luxembourg	2013	1
Luxembourg	2014	2
Luxembourg	2018	1
Malaysia	1996	1
Malaysia	2006	1
Malaysia	2009	1
Malaysia	2014	1
Mexico	1995	1
Mexico	2012	1
Mexico	2015	2
Mongolia	2017	1
Morocco	2017	1
Morocco/Germany	2001	1
Multinational	1992	1
Multinational	1997	1
Multinational	1998	1
Multinational	1999	4
Multinational	2000	2
Multinational	2001	2
Multinational	2002	4
Multinational	2003	1
Multinational	2004	3
Multinational	2005	2
Multinational	2006	6
Multinational	2007	3
Multinational	2008	3
Multinational	2009	3
Multinational	2010	4
Multinational	2011	4
Multinational	2012	4
Multinational	2013	4
Multinational	2014	3
Multinational	2015	5
Multinational	2016	4
Multinational	2017	1
Netherlands	1997	1
Netherlands	1998	1
Netherlands	2000	1
Netherlands	2002	2
Netherlands	2005	1
Netherlands	2008	1
Netherlands	2009	2
Netherlands	2013	1
Netherlands	2017	1
Nigeria	2011	3
Nigeria	2017	1
Norway	1998	1
Norway	2008	1
Norway	2009	1
Norway	2010	1
Norway	2014	1
Norway	2015	1
Norway	2017	2
Pakistan	2011	1
Peru	2016	1
Russia	1994	1
Russia	1999	1
Russia	2001	2
Russia	2002	3
Russia	2003	4
Russia	2004	3
Russia	2005	5
Russia	2006	3
Russia	2007	5
Russia	2008	5
Russia	2009	8
Russia	2010	11
Russia	2011	9
Russia	2012	8
Russia	2013	17
Russia	2014	22
Russia	2015	15
Russia	2016	7
Russia	2017	9
Russia	2018	3
Russia 	2014	1
Russia 	2018	1
Russia/Multinational	2003	1
Russia/USA	2014	2
Saudi Arabia	2002	1
Saudi Arabia	2004	3
Saudi Arabia	2007	6
Saudi Arabia	2014	1
Singapore	2011	1
Singapore	2014	1
Singapore	2015	6
Singapore/Japan	2016	1
Singapore/Taiwan	2011	1
Slovakia	2017	1
South Africa	2014	1
South Africa	2017	2
South Korea	2006	2
South Korea	2010	2
South Korea	2012	1
South Korea	2013	2
South Korea	2015	1
South Korea	2017	3
South Korea	2018	3
Spain	2002	1
Spain	2004	1
Spain	2005	1
Spain	2006	1
Spain	2009	3
Spain	2010	1
Spain	2013	2
Spain	2014	2
Spain	2017	2
Spain	2018	2
Sweden	2001	1
Sweden	2007	1
Switzerland	2009	1
Switzerland	2017	1
Taiwan	2017	2
Taiwan/USA	2006	5
Thailand	2005	1
Thailand	2006	1
Thailand	2008	1
Thailand	2014	1
Thailand	2016	1
Turkey	2008	1
Turkey	2009	1
Turkey	2011	1
Turkey	2012	1
Turkey	2014	1
Turkey	2015	1
Turkey	2016	1
Turkey	2017	2
Turkey/France	2001	1
Turkmenistan/Monaco	2015	1
Ukraine	2014	1
Ukraine/China	2017	1
United Arab Emirates	2003	1
United Arab Emirates	2008	1
United Arab Emirates	2009	1
United Arab Emirates	2011	1
United Arab Emirates	2012	1
United Arab Emirates	2013	1
United Arab Emirates	2017	1
United Arab Emirates	2018	1
United Kingdom	1990	1
United Kingdom	1996	3
United Kingdom	1998	1
United Kingdom	1999	1
United Kingdom	2001	1
United Kingdom	2005	2
United Kingdom	2007	2
United Kingdom	2008	2
United Kingdom	2009	1
United Kingdom	2010	1
United Kingdom	2012	2
United Kingdom	2013	6
United Kingdom	2014	10
United Kingdom	2015	6
United Kingdom	2017	5
United Kingdom	2018	7
United Kingdom	2013	1
Uruguay	2014	1
USA	1974	1
USA	1988	1
USA	1989	1
USA	1991	1
USA	1993	2
USA	1994	2
USA	1995	5
USA	1996	4
USA	1997	37
USA	1998	45
USA	1999	24
USA	2000	21
USA	2001	9
USA	2002	18
USA	2003	15
USA	2004	12
USA	2005	13
USA	2006	13
USA	2007	23
USA	2008	12
USA	2009	18
USA	2010	22
USA	2011	28
USA	2012	27
USA	2013	31
USA	2014	34
USA	2015	49
USA	2016	65
USA	2017	263
USA	2018	46
USA/Argentina	2009	2
USA/Argentina	2013	1
USA/Argentina	2014	1
USA/Canada	1995	1
USA/Canada	1996	1
USA/Canada/Japan	1999	1
USA/France	2008	1
USA/France	2016	1
USA/Japan	2003	1
USA/Japan	2007	1
USA/Japan	2012	1
USA/Japan	2014	1
USA/Japan/Brazil	2002	1
USA/Korea	2018	1
USA/Russia	2017	2
USA/United Kingdom/Italy	2004	1
Venezuela	2008	1
Venezuela	2012	1
Venezuela	2017	1
Vietnam	2008	1
Vietnam	2012	1
Vietnam	2013	1
